timestamp,date,hour,day_of_week,symbol,open,high,low,close,volume,trades,sma_20,ema_50,rsi_14,macd,macd_signal,bb_upper,bb_middle,bb_lower,source,ingestion_timestamp
2026-02-13 00:00:00 UTC,2026-02-13,0,Friday,BTCUSDT,66272.17,66490,66163.05,66452.28,86.92064,22290,66267.0325,65922.7012,60.474329929627508,171.34096153845894,231.8999857549837,66579.908978931257,66267.0325,65954.156021068746,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:05:00 UTC,2026-02-13,0,Friday,BTCUSDT,66452.28,66527.09,66400,66431.84,94.77571,18936,66290.634,65935.5708,57.929262860796541,147.77833333333547,220.487471509969,66575.930065639681,66290.634,66005.33793436033,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:10:00 UTC,2026-02-13,0,Friday,BTCUSDT,66431.85,66462.97,66366,66374.88,50.7324,15552,66312.2815,65944.3664,50.580903978994918,133.83147435897263,206.07809829059664,66547.475210914388,66312.2815,66077.0877890856,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:15:00 UTC,2026-02-13,0,Friday,BTCUSDT,66374.88,66382.01,66166.73,66178.2,63.5885,19812,66323.708500000008,65951.0996,36.646154766772476,104.91410256411473,188.0646581196585,66499.401628197418,66323.708500000008,66148.0153718026,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:20:00 UTC,2026-02-13,0,Friday,BTCUSDT,66178.21,66221.18,66091.87,66139.04,101.61834,18255,66320.661000000007,65959.7976,40.418440418440191,67.1234615384601,165.92658119658074,66507.171222764853,66320.661000000007,66134.150777235162,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:25:00 UTC,2026-02-13,0,Friday,BTCUSDT,66139.03,66139.04,66008.39,66026.92,65.26324,13913,66304.4065,65965.814800000007,33.233591029319896,24.185320512828184,140.66136752136742,66531.632628990017,66304.4065,66077.180371009978,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:30:00 UTC,2026-02-13,0,Friday,BTCUSDT,66026.93,66108.38,65900,65972.72,78.8441,22283,66289.999,65973.0692,25.084125203699585,-14.895000000004075,114.08836182336219,66561.144572235949,66289.999,66018.853427764043,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:35:00 UTC,2026-02-13,0,Friday,BTCUSDT,65972.72,66108.7,65934.44,66087.25,48.50938,16937,66279.9615,65984.7002,34.464572795357242,-31.814871794864303,87.6024572649589,66565.879323768342,66279.9615,65994.043676231668,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:40:00 UTC,2026-02-13,0,Friday,BTCUSDT,66087.26,66144.26,65952.15,65952.16,44.49716,14331,66259.341,65993.8402,31.077796144225061,-56.815000000002328,60.627642450144371,66577.2615077672,66259.341,65941.4204922328,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:45:00 UTC,2026-02-13,0,Friday,BTCUSDT,65952.16,66013.7,65872.46,65975.43,50.12223,20413,66235.813,66000.6606,37.271064092110755,-79.120320512825856,32.798611111112727,66565.021030540913,66235.813,65906.604969459077,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:50:00 UTC,2026-02-13,0,Friday,BTCUSDT,65975.42,66043.2,65876.07,66020.01,41.59808,17757,66221.151,66010.1272,39.006139121186763,-91.080512820524746,6.258739316239371,66561.760396903468,66221.151,65880.541603096528,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 00:55:00 UTC,2026-02-13,0,Friday,BTCUSDT,66020.01,66069.01,65918.6,65918.6,38.92018,14882,66199.3175,66020.819,36.038659425468133,-103.87506410256901,-20.153098290598589,66559.166966473218,66199.3175,65839.468033526791,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 01:00:00 UTC,2026-02-13,1,Friday,BTCUSDT,65918.61,66073.59,65918.61,66046,47.2686,20062,66179.4355,66033.3952,41.855593088215691,-129.46750000001339,-46.195498575501716,66526.147021614161,66179.4355,65832.723978385853,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 01:05:00 UTC,2026-02-13,1,Friday,BTCUSDT,66046.01,66270.6,66036.5,66195.03,67.09974,30232,66168.9765,66048.7246,47.1534635197567,-145.62589743589342,-69.834316239318767,66499.374657015069,66168.9765,65838.57834298494,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 01:10:00 UTC,2026-02-13,1,Friday,BTCUSDT,66195.04,66266.88,66158.33,66251.12,48.58317,26221,66162.518,66060.8986,41.829141483069733,-151.57576923078159,-89.363326210830962,66480.334196506883,66162.518,65844.70180349311,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 01:15:00 UTC,2026-02-13,1,Friday,BTCUSDT,66251.12,66296.64,66204.42,66216,51.85936,24157,66161.7445,66072.7426,41.336180597925392,-139.58000000000175,-103.2172150997196,66478.928779857029,66161.7445,65844.560220142972,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 01:20:00 UTC,2026-02-13,1,Friday,BTCUSDT,66216.01,66262.68,66122.2,66122.2,72.50396,20580,66155.4825,66081.7888,40.148774249890288,-133.63525641025626,-114.53059116809648,66470.4808010731,66155.4825,65840.48419892689,historical,2026-02-13 17:59:31.074216 UTC
2026-02-13 01:25:00 UTC,2026-02-13,1,Friday,BTCUSDT,66122.2,66277.7,66086.41,66225.43,45.87785,18732,66155.194,66090.6976,51.9860726810929,-112.09891025641991,-120.67324786325399,66469.910752946627,66155.194,65840.477247053379,historical,2026-02-13 17:59:31.074216 UTC